geometry_id,geometry
33,"LINESTRING (-120.6615876 47.5961136, -120.6614953 47.5960195, -120.6614924 47.5960163, -120.6613449 47.5959119, -120.6611513 47.5957946, -120.6610743 47.5957446, -120.6609741 47.5956845, -120.6606791 47.595435, -120.66039 47.5951869, -120.6602955 47.5951105)"
34,"LINESTRING (-120.6615876 47.5961136, -120.6616161 47.5961608, -120.6616345 47.5962239, -120.6616519 47.5963075, -120.6616508 47.5964722, -120.6616482 47.5965473, -120.6616445 47.5966511, -120.661654 47.5967516, -120.6616857 47.5968207, -120.6617491 47.5969084)"
35,"LINESTRING (-120.6573605 47.5982971, -120.6577402 47.5981085, -120.6586284 47.597666, -120.6592259 47.5973531, -120.6592819 47.5973236, -120.6593852 47.5972695, -120.659729 47.597089, -120.6598238 47.5970393, -120.6601211 47.5968833, -120.6602268 47.5968278, -120.6606933 47.5965764, -120.6607284 47.596559, -120.6608704 47.59649, -120.6609003 47.5964743, -120.6610107 47.5964154, -120.661353 47.596236, -120.6615876 47.5961136)"
36,"LINESTRING (-120.6573605 47.5982971, -120.6571606 47.5983964, -120.6568582 47.5985457, -120.6565263 47.5986878, -120.656196 47.5988027, -120.6560936 47.5988322, -120.655824 47.5989099, -120.6557338 47.5989303, -120.6555736 47.5989666, -120.655178 47.5990327, -120.6549764 47.5990621, -120.6547838 47.5990793, -120.6545684 47.5990914, -120.6542445 47.5991003)"
37,"LINESTRING (-120.6573605 47.5982971, -120.6572895 47.5982363, -120.6571721 47.598136, -120.6567226 47.5977516, -120.6566479 47.5976877)"
38,"LINESTRING (-120.6542445 47.5991003, -120.6545684 47.5990914, -120.6547838 47.5990793, -120.6549764 47.5990621, -120.655178 47.5990327, -120.6555736 47.5989666, -120.6557338 47.5989303, -120.655824 47.5989099, -120.6560936 47.5988322, -120.656196 47.5988027, -120.6565263 47.5986878, -120.6568582 47.5985457, -120.6571606 47.5983964, -120.6573605 47.5982971)"
39,"LINESTRING (-120.6542445 47.5991003, -120.6536891 47.599097, -120.6534654 47.5990893, -120.6532447 47.5990696, -120.6528668 47.5990143, -120.6525598 47.598949, -120.6522275 47.5988608, -120.6518948 47.5987513)"
40,"LINESTRING (-120.6542445 47.5991003, -120.6542621 47.5992218, -120.6543191 47.5993464, -120.6544289 47.5995502, -120.6544662 47.5996259, -120.6544927 47.599707, -120.6545141 47.5997927, -120.6545205 47.5998853, -120.6545146 47.5999559)"
41,"LINESTRING (-120.6542445 47.5991003, -120.6542768 47.5989834, -120.6543155 47.598951, -120.6543963 47.598894)"
42,"LINESTRING (-120.6518948 47.5987513, -120.6522275 47.5988608, -120.6525598 47.598949, -120.6528668 47.5990143, -120.6532447 47.5990696, -120.6534654 47.5990893, -120.6536891 47.599097, -120.6542445 47.5991003)"
43,"LINESTRING (-120.6518948 47.5987513, -120.6518303 47.5988201, -120.651812 47.5988396, -120.651772 47.5988925, -120.6517026 47.5989841, -120.6516671 47.5990193, -120.6516087 47.5990772, -120.6514992 47.5991502, -120.6511956 47.5993304, -120.6508201 47.5995466, -120.6506172 47.5996581, -120.6499873 47.6000042, -120.6491639 47.6004482, -120.6485818 47.6007638, -120.6483616 47.6008808, -120.648272 47.6009591, -120.6482124 47.6010339, -120.6481794 47.6010878)"
44,"LINESTRING (-120.6633896 47.5970316, -120.6634876 47.5970332, -120.6636847 47.5970364, -120.663989 47.5970403, -120.6640639 47.5970413, -120.6645164 47.5970366, -120.664786 47.5970181, -120.6650057 47.5970139, -120.6651374 47.5970115)"
45,"LINESTRING (-120.6633896 47.5970316, -120.6633896 47.5970909, -120.6633895 47.5972853, -120.6633882 47.5973345, -120.6633849 47.5974578, -120.6633831 47.5975279, -120.6633726 47.5977507, -120.6633639 47.5978862, -120.6633634 47.5979119)"
46,"LINESTRING (-120.6633896 47.5970316, -120.6620572 47.5970217)"
47,"LINESTRING (-120.6633896 47.5970316, -120.663387 47.5969729, -120.6633834 47.5968928, -120.6633927 47.5967953, -120.6634238 47.59673, -120.6634779 47.5966629, -120.6646139 47.596079, -120.6654396 47.595643)"
48,"LINESTRING (-120.6633634 47.5979119, -120.6633639 47.5978862, -120.6633726 47.5977507, -120.6633831 47.5975279, -120.6633849 47.5974578, -120.6633882 47.5973345, -120.6633895 47.5972853, -120.6633896 47.5970909, -120.6633896 47.5970316)"
49,"LINESTRING (-120.6633634 47.5979119, -120.663363 47.5979847, -120.6633612 47.5983551, -120.6633525 47.5987175, -120.6633506 47.5987984)"
